epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,2053,0.20861,0.40212,0.19465,0.95758,0.93492,0.95474,0.70548,0.27387,0.43188,0.38966,8.713e-05,8.713e-05,8.713e-05
41,2104.29,0.21697,0.41522,0.20164,0.96175,0.933,0.95797,0.69909,0.28045,0.42733,0.40099,8.68e-05,8.68e-05,8.68e-05
42,2155.5,0.22161,0.41238,0.21529,0.9564,0.94823,0.95395,0.69057,0.28657,0.4051,0.4074,8.647e-05,8.647e-05,8.647e-05
43,2206.74,0.21455,0.40544,0.1978,0.96555,0.94763,0.95688,0.70523,0.28378,0.44879,0.40519,8.614e-05,8.614e-05,8.614e-05
44,2258,0.21412,0.40726,0.20031,0.95618,0.94949,0.95441,0.70407,0.28059,0.45422,0.38227,8.581e-05,8.581e-05,8.581e-05
45,2309.32,0.20536,0.38725,0.19385,0.95363,0.94898,0.9543,0.70513,0.28447,0.4207,0.38625,8.548e-05,8.548e-05,8.548e-05
46,2360.54,0.21123,0.39308,0.19745,0.96411,0.93747,0.94915,0.70304,0.28658,0.41039,0.40337,8.515e-05,8.515e-05,8.515e-05
47,2411.82,0.20918,0.3959,0.19389,0.9682,0.94539,0.95723,0.71515,0.27435,0.38816,0.38528,8.482e-05,8.482e-05,8.482e-05
48,2463.25,0.2035,0.37979,0.19002,0.97136,0.9534,0.95633,0.71042,0.28606,0.38682,0.40196,8.449e-05,8.449e-05,8.449e-05
49,2514.54,0.20795,0.38064,0.18979,0.97364,0.95752,0.96347,0.7149,0.2762,0.37525,0.38034,8.416e-05,8.416e-05,8.416e-05
50,2565.88,0.20524,0.38625,0.19297,0.96111,0.95062,0.95728,0.70738,0.27664,0.39238,0.38716,8.383e-05,8.383e-05,8.383e-05
51,2617.17,0.20479,0.37649,0.18758,0.96574,0.94701,0.95391,0.707,0.27973,0.38188,0.38088,8.35e-05,8.35e-05,8.35e-05
52,2668.45,0.20545,0.37982,0.19192,0.96413,0.96009,0.95854,0.71306,0.28724,0.40042,0.40088,8.317e-05,8.317e-05,8.317e-05
53,2719.69,0.20124,0.37893,0.1849,0.96256,0.95586,0.96385,0.71096,0.28041,0.4196,0.38541,8.284e-05,8.284e-05,8.284e-05
54,2770.7,0.20175,0.36921,0.18322,0.95754,0.93877,0.953,0.70647,0.2856,0.40085,0.40566,8.251e-05,8.251e-05,8.251e-05
55,2821.71,0.19719,0.37475,0.17615,0.9649,0.95475,0.95907,0.71377,0.27536,0.38012,0.37293,8.218e-05,8.218e-05,8.218e-05
56,2872.73,0.20071,0.36181,0.18679,0.96402,0.94758,0.95869,0.7162,0.27911,0.37912,0.38647,8.185e-05,8.185e-05,8.185e-05
57,2923.98,0.19963,0.36385,0.18864,0.96226,0.95079,0.94687,0.71161,0.27702,0.38958,0.38689,8.152e-05,8.152e-05,8.152e-05
58,2975.01,0.19295,0.3622,0.17662,0.97257,0.9504,0.9585,0.70586,0.28125,0.40034,0.38336,8.119e-05,8.119e-05,8.119e-05
59,3026.09,0.19479,0.36399,0.17767,0.96666,0.94341,0.95864,0.70028,0.28565,0.40715,0.41559,8.086e-05,8.086e-05,8.086e-05
60,3077.22,0.19284,0.35922,0.17712,0.96173,0.9438,0.95742,0.71923,0.26806,0.3862,0.36158,8.053e-05,8.053e-05,8.053e-05
61,3128.54,0.19309,0.35931,0.17903,0.9576,0.94247,0.94755,0.71118,0.27699,0.38263,0.3912,8.02e-05,8.02e-05,8.02e-05
62,3179.71,0.19501,0.37347,0.17882,0.95988,0.95197,0.96035,0.7062,0.27819,0.40449,0.3953,7.987e-05,7.987e-05,7.987e-05
63,3230.84,0.19224,0.35927,0.17294,0.97299,0.93417,0.95912,0.70803,0.26813,0.40511,0.36151,7.954e-05,7.954e-05,7.954e-05
64,3281.98,0.19142,0.37026,0.17484,0.97063,0.95164,0.9615,0.71858,0.27448,0.3901,0.38264,7.921e-05,7.921e-05,7.921e-05
65,3333.16,0.18269,0.3456,0.16346,0.96175,0.94941,0.96042,0.71729,0.28355,0.39859,0.39163,7.888e-05,7.888e-05,7.888e-05
66,3384.13,0.18537,0.35388,0.16491,0.96465,0.95408,0.95817,0.71336,0.27837,0.40381,0.38496,7.855e-05,7.855e-05,7.855e-05
67,3435.18,0.18435,0.35532,0.16951,0.96401,0.95478,0.9579,0.71812,0.27029,0.4027,0.36732,7.822e-05,7.822e-05,7.822e-05
68,3486.2,0.18252,0.35193,0.17163,0.95117,0.95067,0.96629,0.71452,0.27722,0.42889,0.37698,7.789e-05,7.789e-05,7.789e-05
69,3537.29,0.18343,0.35492,0.16542,0.95863,0.94779,0.95888,0.71775,0.27362,0.40174,0.37689,7.756e-05,7.756e-05,7.756e-05
