epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
173,8848.27,0.12011,0.24897,0.10568,0.98247,0.94976,0.96473,0.7144,0.28283,0.3721,0.39251,4.324e-05,4.324e-05,4.324e-05
174,8899.34,0.12039,0.23689,0.10143,0.97708,0.95812,0.9635,0.72277,0.28033,0.37629,0.38422,4.291e-05,4.291e-05,4.291e-05
175,8950.38,0.12099,0.23442,0.10039,0.97064,0.95626,0.9649,0.71754,0.28165,0.38535,0.38699,4.258e-05,4.258e-05,4.258e-05
176,9001.41,0.11282,0.23023,0.09703,0.97401,0.9587,0.96531,0.71852,0.27756,0.38711,0.37932,4.225e-05,4.225e-05,4.225e-05
177,9052.49,0.11725,0.2379,0.10085,0.97527,0.95937,0.96688,0.72343,0.27806,0.38196,0.38278,4.192e-05,4.192e-05,4.192e-05
178,9103.54,0.11868,0.24372,0.10107,0.96772,0.96064,0.96277,0.72419,0.27568,0.38213,0.37178,4.159e-05,4.159e-05,4.159e-05
179,9154.58,0.12158,0.24066,0.10315,0.9712,0.96504,0.96066,0.71789,0.27786,0.37855,0.37984,4.126e-05,4.126e-05,4.126e-05
180,9205.59,0.11829,0.2398,0.10017,0.97519,0.95932,0.96142,0.71675,0.27633,0.37153,0.38193,4.093e-05,4.093e-05,4.093e-05
181,9256.68,0.11617,0.22788,0.09618,0.96925,0.94922,0.96215,0.71392,0.27803,0.39158,0.38351,4.06e-05,4.06e-05,4.06e-05
182,9307.73,0.11758,0.24341,0.10183,0.976,0.94568,0.96093,0.71846,0.27844,0.40476,0.38636,4.027e-05,4.027e-05,4.027e-05
183,9358.73,0.11901,0.24411,0.1014,0.97407,0.9494,0.96529,0.71981,0.27867,0.39527,0.38239,3.994e-05,3.994e-05,3.994e-05
184,9409.7,0.11797,0.22898,0.09934,0.97461,0.95483,0.96513,0.72043,0.2748,0.3952,0.37403,3.961e-05,3.961e-05,3.961e-05
185,9460.81,0.11344,0.23823,0.09515,0.96958,0.96112,0.96532,0.72257,0.27211,0.39583,0.362,3.928e-05,3.928e-05,3.928e-05
186,9511.91,0.11568,0.24191,0.10256,0.97639,0.96541,0.96603,0.72006,0.27607,0.37745,0.37665,3.895e-05,3.895e-05,3.895e-05
187,9562.97,0.11659,0.23939,0.09992,0.97761,0.94651,0.96554,0.72181,0.27798,0.40017,0.38341,3.862e-05,3.862e-05,3.862e-05
188,9614.04,0.11403,0.22806,0.09409,0.97378,0.95722,0.96004,0.71019,0.28133,0.41844,0.38799,3.829e-05,3.829e-05,3.829e-05
189,9665.08,0.11483,0.23102,0.09415,0.97391,0.95608,0.96235,0.71607,0.2839,0.38123,0.39783,3.796e-05,3.796e-05,3.796e-05
190,9716.11,0.11009,0.22731,0.09122,0.97532,0.9596,0.96224,0.71478,0.28573,0.38349,0.40316,3.763e-05,3.763e-05,3.763e-05
191,9767.17,0.11706,0.22845,0.10179,0.97301,0.95997,0.95987,0.70984,0.28568,0.39154,0.40567,3.73e-05,3.73e-05,3.73e-05
192,9818.17,0.11552,0.22311,0.0981,0.97326,0.95802,0.96181,0.71599,0.28063,0.40464,0.38318,3.697e-05,3.697e-05,3.697e-05
193,9869.28,0.11189,0.22445,0.09374,0.96902,0.95537,0.9597,0.71702,0.27882,0.39655,0.38574,3.664e-05,3.664e-05,3.664e-05
194,9920.35,0.11524,0.23443,0.09709,0.97807,0.95208,0.96029,0.71372,0.2796,0.38427,0.39027,3.631e-05,3.631e-05,3.631e-05
195,9971.43,0.11636,0.23044,0.09943,0.97444,0.95524,0.96215,0.71892,0.27982,0.37467,0.38765,3.598e-05,3.598e-05,3.598e-05
196,10022.4,0.11191,0.22981,0.09594,0.97272,0.95748,0.96075,0.72072,0.27852,0.37941,0.3827,3.565e-05,3.565e-05,3.565e-05
197,10073.5,0.11072,0.22182,0.09247,0.97454,0.95933,0.96152,0.71888,0.27721,0.37572,0.37498,3.532e-05,3.532e-05,3.532e-05
198,10124.5,0.11641,0.22809,0.09738,0.97187,0.95504,0.95858,0.71582,0.27907,0.37097,0.39041,3.499e-05,3.499e-05,3.499e-05
199,10175.6,0.10949,0.22782,0.09314,0.96909,0.95408,0.96276,0.71286,0.28098,0.37826,0.39873,3.466e-05,3.466e-05,3.466e-05
200,10226.7,0.11042,0.22728,0.09164,0.97131,0.95925,0.96196,0.71334,0.27945,0.37368,0.39517,3.433e-05,3.433e-05,3.433e-05
201,10277.8,0.11227,0.23013,0.09331,0.96214,0.95998,0.95574,0.7156,0.27478,0.38011,0.3844,3.4e-05,3.4e-05,3.4e-05
202,10328.8,0.10902,0.22194,0.09013,0.96711,0.96361,0.95736,0.71518,0.27909,0.38078,0.38487,3.367e-05,3.367e-05,3.367e-05
203,10379.9,0.11564,0.22498,0.09372,0.97509,0.95699,0.95921,0.71729,0.27705,0.37601,0.38841,3.334e-05,3.334e-05,3.334e-05
204,10431,0.11294,0.22119,0.09668,0.97164,0.96213,0.95808,0.71754,0.2799,0.37577,0.38556,3.301e-05,3.301e-05,3.301e-05
205,10482.1,0.11045,0.22623,0.09168,0.9772,0.94954,0.95711,0.71439,0.2819,0.38019,0.38776,3.268e-05,3.268e-05,3.268e-05
206,10533.2,0.10901,0.22401,0.08965,0.96927,0.95928,0.95953,0.71511,0.28292,0.3767,0.39249,3.235e-05,3.235e-05,3.235e-05
207,10584.3,0.11018,0.22618,0.09155,0.96099,0.96054,0.95774,0.71063,0.28318,0.37843,0.39153,3.202e-05,3.202e-05,3.202e-05
208,10635.3,0.10632,0.22116,0.08825,0.96828,0.95817,0.95812,0.71505,0.28101,0.38036,0.38562,3.169e-05,3.169e-05,3.169e-05
209,10686.4,0.10232,0.22251,0.0886,0.9753,0.96185,0.96211,0.71682,0.28281,0.37619,0.39297,3.136e-05,3.136e-05,3.136e-05
210,10737.5,0.10899,0.21847,0.09206,0.9768,0.96086,0.96163,0.71476,0.28357,0.37626,0.39702,3.103e-05,3.103e-05,3.103e-05
211,10788.6,0.10929,0.22542,0.09228,0.97418,0.95748,0.96147,0.7142,0.28323,0.37507,0.39503,3.07e-05,3.07e-05,3.07e-05
212,10839.6,0.10335,0.2163,0.08606,0.97352,0.96088,0.9609,0.71529,0.28018,0.38336,0.38843,3.037e-05,3.037e-05,3.037e-05
213,10890.7,0.1124,0.22763,0.09351,0.97403,0.95509,0.95626,0.71112,0.28084,0.39041,0.38505,3.004e-05,3.004e-05,3.004e-05
214,10941.7,0.10481,0.21887,0.08693,0.97921,0.9562,0.95627,0.7142,0.28005,0.38113,0.386,2.971e-05,2.971e-05,2.971e-05
215,10992.8,0.10818,0.22696,0.09078,0.97055,0.95934,0.95728,0.71854,0.27791,0.37846,0.38887,2.938e-05,2.938e-05,2.938e-05
216,11043.8,0.10843,0.221,0.08934,0.97355,0.95734,0.95663,0.71956,0.27832,0.36955,0.38767,2.905e-05,2.905e-05,2.905e-05
217,11094.9,0.102,0.21647,0.0852,0.97165,0.94725,0.95204,0.71766,0.28096,0.3805,0.38645,2.872e-05,2.872e-05,2.872e-05
218,11146,0.10612,0.22829,0.08964,0.97276,0.95152,0.95683,0.71682,0.28185,0.37677,0.39291,2.839e-05,2.839e-05,2.839e-05
219,11197.1,0.11286,0.22884,0.09348,0.96826,0.95852,0.95428,0.71598,0.28404,0.37627,0.39771,2.806e-05,2.806e-05,2.806e-05
220,11248.2,0.10648,0.20821,0.08927,0.97177,0.95934,0.95894,0.7212,0.28082,0.37865,0.39075,2.773e-05,2.773e-05,2.773e-05
221,11299.2,0.10486,0.21561,0.08914,0.97415,0.9569,0.9591,0.72101,0.28188,0.37517,0.38826,2.74e-05,2.74e-05,2.74e-05
222,11350.2,0.10355,0.21857,0.08403,0.97497,0.95663,0.95833,0.72019,0.27772,0.37497,0.38788,2.707e-05,2.707e-05,2.707e-05
